,Unnamed: 0,parl_id,syls,parly,gender,name,wikidataid,county,constituency,region,msp_type,office_held,year_born,age
20,21,1791,44693,1st,F,Janis Hughes,Q780646,Glasgow City,Glasgow Rutherglen,Glasgow,Constituency,,1958,63
21,22,1791,44693,1st,F,Janis Hughes,Q780646,Glasgow City,Glasgow Rutherglen,Glasgow,Constituency,"The Ministerial Parliamentary Aide to the Minister for Tourism, Culture and Sport",1958,63
22,23,1803,71918,1st,F,Karen Gillon,Q1729243,South Lanarkshire,Clydesdale,South of Scotland,Constituency,,1967,54
23,24,1805,66177,1st,F,Karen Whitefield,Q1344022,North Lanarkshire,Airdrie and Shotts,Central Scotland,Constituency,,1970,51
24,25,1805,66177,1st,F,Karen Whitefield,Q1344022,North Lanarkshire,Airdrie and Shotts,Central Scotland,Constituency,The Ministerial Parliamentary Aide to the Solicitor General for Scotland,1970,51
25,26,1807,27965,1st,F,Kate Maclean,Q1735695,Dundee City,Dundee West,North East Scotland,Constituency,,1958,63
26,27,1811,68937,1st,F,Kay Ullrich,Q1737405,,,West of Scotland,Region,,1943,78
27,28,1814,115137,1st,F,Linda Fabiani,Q467097,,,Central Scotland,Region,,1956,65
28,29,1820,185574,1st,F,Margaret Curran,Q291748,Glasgow City,Glasgow Baillieston,Glasgow,Constituency,,1958,63
29,30,1820,185574,1st,F,Margaret Curran,Q291748,Glasgow City,Glasgow Baillieston,Glasgow,Constituency,The Deputy Minister for Social Justice,1958,63
30,31,1820,185574,1st,F,Margaret Curran,Q291748,Glasgow City,Glasgow Baillieston,Glasgow,Constituency,The Minister for Social Justice,1958,63
31,32,1821,57200,1st,F,Margaret Ewing,Q333903,Moray,Moray,Highlands and Islands,Constituency,,1945,76
32,33,1823,34122,1st,F,Margaret Jamieson,Q1894852,East Ayrshire,Kilmarnock and Loudoun,Central Scotland,Constituency,,1953,68
33,34,1826,150875,1st,F,Margaret Smith,Q1894898,City of Edinburgh,Edinburgh West,Lothians,Constituency,,1961,60
34,35,1828,95420,1st,F,Margo MacDonald,Q334376,,,Lothians,Region,,1943,78
35,36,1832,39040,1st,F,Marilyn Livingstone,Q1281543,Fife,Kirkcaldy,Mid Scotland and Fife,Constituency,,1952,69
36,37,1837,101265,1st,F,Mary Mulligan,Q1267804,West Lothian,Linlithgow,Lothians,Constituency,,1960,61
37,38,1837,101265,1st,F,Mary Mulligan,Q1267804,West Lothian,Linlithgow,Lothians,Constituency,The Deputy Minister for Health and Community Care,1960,61
38,39,1839,195976,1st,F,Mary Scanlon,Q1906394,,,Highlands and Islands,Region,,1947,74
39,40,1840,120158,1st,F,Maureen Macmillan,Q1300245,,,Highlands and Islands,Region,,1943,78
40,41,1848,194551,1st,F,Nicola Sturgeon,Q467112,,,Glasgow,Region,,1970,51
41,42,1850,118494,1st,F,Nora Radcliffe,Q1996594,Aberdeenshire,Gordon,North East Scotland,Constituency,,1946,75
42,43,1853,74201,1st,F,Patricia Ferguson,Q2057182,Glasgow City,Glasgow Maryhill,Glasgow,Constituency,The Deputy Presiding Officer,1958,63
43,44,1853,74201,1st,F,Patricia Ferguson,Q2057182,Glasgow City,Glasgow Maryhill,Glasgow,Constituency,The Minister for Parliamentary Business,1958,63
44,45,1854,83490,1st,F,Trish Godman,Q2057190,Renfrewshire,West Renfrewshire,West of Scotland,Constituency,,1939,82
45,46,1857,139878,1st,F,Pauline McNeill,Q2063795,Glasgow City,Glasgow Kelvin,Glasgow,Constituency,,1962,59
46,47,1860,68694,1st,F,Rhoda Grant,Q769138,,,Highlands and Islands,Region,,1963,58
47,48,1860,68694,1st,F,Rhoda Grant,Q769138,,,Highlands and Islands,Region,The Ministerial Parliamentary Aide to the Minister for Social Justice,1963,58
48,49,1862,120882,1st,F,Rhona Brankin,Q544064,Midlothian,Midlothian,Lothians,Constituency,The Deputy Minister for Culture and Sport,1950,71
49,50,1862,120882,1st,F,Rhona Brankin,Q544064,Midlothian,Midlothian,Lothians,Constituency,The Deputy Minister for Environment and Rural Development,1950,71
50,51,1862,120882,1st,F,Rhona Brankin,Q544064,Midlothian,Midlothian,Lothians,Constituency,,1950,71
51,52,1863,222738,1st,F,Roseanna Cunningham,Q333953,Perth and Kinross,Perth,Mid Scotland and Fife,Constituency,,1951,70
52,53,1865,81586,1st,F,Sandra White,Q466861,,,Glasgow,Region,,1951,70
53,54,1866,284009,1st,F,Sarah Boyack,Q544089,City of Edinburgh,Edinburgh Central,Lothians,Constituency,The Minister for Transport and the Environment,1961,60
54,55,1866,284009,1st,F,Sarah Boyack,Q544089,City of Edinburgh,Edinburgh Central,Lothians,Constituency,The Minister for Transport and Telecommunications,1961,60
55,56,1866,284009,1st,F,Sarah Boyack,Q544089,City of Edinburgh,Edinburgh Central,Lothians,Constituency,The Minister for Transport and Planning,1961,60
56,57,1866,284009,1st,F,Sarah Boyack,Q544089,City of Edinburgh,Edinburgh Central,Lothians,Constituency,,1961,60
57,58,1870,123938,1st,F,Shona Robison,Q444675,,,North East Scotland,Region,,1966,55
58,59,1871,227424,1st,F,Susan Deacon,Q544755,City of Edinburgh,Edinburgh East and Musselburgh,Lothians,Constituency,The Minister for Health and Community Care,1964,57
59,60,1871,227424,1st,F,Susan Deacon,Q544755,City of Edinburgh,Edinburgh East and Musselburgh,Lothians,Constituency,,1964,57
60,61,1873,79894,1st,F,Sylvia Jackson,Q2374216,Stirling,Stirling,Mid Scotland and Fife,Constituency,,1946,75
61,62,1873,79894,1st,F,Sylvia Jackson,Q2374216,Stirling,Stirling,Mid Scotland and Fife,Constituency,The Ministerial Parliamentary Aide to the Minister for Health and Community Care,1946,75
62,63,1876,136397,1st,F,Tricia Marwick,Q540435,,,Mid Scotland and Fife,Region,,1953,68
63,64,1877,170900,1st,F,Wendy Alexander,Q511689,Renfrewshire,Paisley North,West of Scotland,Constituency,The Minister for Communities,1963,58
64,65,1877,170900,1st,F,Wendy Alexander,Q511689,Renfrewshire,Paisley North,West of Scotland,Constituency,The Minister for Enterprise and Lifelong Learning,1963,58
65,66,1877,170900,1st,F,Wendy Alexander,Q511689,Renfrewshire,Paisley North,West of Scotland,Constituency,"The Minister for Enterprise, Transport and Lifelong Learning",1963,58
66,67,1877,170900,1st,F,Wendy Alexander,Q511689,Renfrewshire,Paisley North,West of Scotland,Constituency,,1963,58
67,68,1878,56937,1st,F,Winnie Ewing,Q334015,,,Highlands and Islands,Region,,1929,92
68,69,1882,78270,1st,M,Adam Ingram,Q349826,,,South of Scotland,Region,,1951,70
69,70,1888,151352,1st,M,Alasdair Morgan,Q662910,Dumfries and Galloway,Galloway and Upper Nithsdale,South of Scotland,Constituency,,1945,76
70,71,1889,127128,1st,M,Alasdair Morrison,Q1669774,Na h-Eileanan Siar,Western Isles,Highlands and Islands,Constituency,The Deputy Minister for Enterprise and Lifelong Learning and Gaelic,1968,53
71,72,1889,127128,1st,M,Alasdair Morrison,Q1669774,Na h-Eileanan Siar,Western Isles,Highlands and Islands,Constituency,,1968,53
72,73,1892,109290,1st,M,Alex Fergusson,Q559046,,,South of Scotland,Region,,1949,72
73,74,1893,98950,1st,M,Alex Johnstone,Q2641395,,,North East Scotland,Region,,1961,60
74,75,1894,141363,1st,M,Alex Neil,Q1515752,,,Central Scotland,Region,,1951,70
75,76,1895,77661,1st,M,Alex Salmond,Q10652,Aberdeenshire,Banff and Buchan,North East Scotland,Constituency,,1954,67
76,77,1901,197806,1st,M,Allan Wilson,Q2648077,North Ayrshire,Cunninghame North,West of Scotland,Constituency,,1954,67
77,78,1901,197806,1st,M,Allan Wilson,Q2648077,North Ayrshire,Cunninghame North,West of Scotland,Constituency,The Deputy Minister for Culture and Sport,1954,67
78,79,1901,197806,1st,M,Allan Wilson,Q2648077,North Ayrshire,Cunninghame North,West of Scotland,Constituency,"The Deputy Minister for Sport, the Arts and Culture",1954,67
79,80,1901,197806,1st,M,Allan Wilson,Q2648077,North Ayrshire,Cunninghame North,West of Scotland,Constituency,The Deputy Minister for Environment and Rural Development,1954,67
80,81,1906,41423,1st,M,Andrew Welsh,Q334000,Angus,Angus,North East Scotland,Constituency,,1944,77
81,82,1907,163215,1st,M,Andrew Wilson,Q16213334,,,Central Scotland,Region,,1970,51
82,83,1908,120734,1st,M,Andy Kerr,Q526409,South Lanarkshire,East Kilbride,Central Scotland,Constituency,,1962,59
83,84,1908,120734,1st,M,Andy Kerr,Q526409,South Lanarkshire,East Kilbride,Central Scotland,Constituency,The Minister for Finance and Public Services,1962,59
84,85,1911,190159,1st,M,Angus MacKay,Q544484,City of Edinburgh,Edinburgh South,Lothians,Constituency,The Deputy Minister for Justice,1964,57
85,86,1911,190159,1st,M,Angus MacKay,Q544484,City of Edinburgh,Edinburgh South,Lothians,Constituency,The Minister for Finance and Local Government,1964,57
86,87,1911,190159,1st,M,Angus MacKay,Q544484,City of Edinburgh,Edinburgh South,Lothians,Constituency,,1964,57
87,88,1916,112804,1st,M,Ben Wallace,Q263166,,,North East Scotland,Region,,1970,51
88,89,1926,118384,1st,M,Brian Adam,Q570298,,,North East Scotland,Region,,1948,73
89,90,1928,72751,1st,M,Brian Fitzpatrick,Q912167,East Dunbartonshire,Strathkelvin and Bearsden,West of Scotland,Constituency,,1961,60
90,91,1930,177040,1st,M,Brian Monteith,Q912776,,,Mid Scotland and Fife,Region,,1958,63
91,92,1931,81165,1st,M,Bristow Muldoon,Q917995,West Lothian,Livingston,Lothians,Constituency,,1964,57
92,93,1932,119941,1st,M,Bruce Crawford,Q559391,,,Mid Scotland and Fife,Region,,1955,66
93,94,1950,94909,1st,M,Colin Campbell,Q1108388,,,West of Scotland,Region,,1938,83
94,95,1956,242060,1st,M,David Davidson,Q1174169,,,North East Scotland,Region,,1943,78
95,96,1961,249678,1st,M,David McLetchie,Q1175613,,,Lothians,Region,,1952,69
96,97,1962,149762,1st,M,David Mundell,Q333520,,,South of Scotland,Region,,1962,59
97,98,1968,104494,1st,M,Dennis Canavan,Q1189028,Falkirk,Falkirk West,Central Scotland,Constituency,,1942,79
98,99,1970,156718,1st,M,Des McNulty,Q1200458,East Dunbartonshire,Clydebank and Milngavie,West of Scotland,Constituency,,1952,69
99,100,1970,156718,1st,M,Des McNulty,Q1200458,East Dunbartonshire,Clydebank and Milngavie,West of Scotland,Constituency,The Deputy Minister for Social Justice,1952,69
100,101,1972,159581,1st,M,Donald Dewar,Q333158,Glasgow City,Glasgow Anniesland,Glasgow,Constituency,The First Minister,1937,84
101,102,1973,229075,1st,M,Donald Gorrie,Q334137,,,Central Scotland,Region,,1933,88
102,103,1985,130487,1st,M,Duncan Hamilton,Q1265397,,,Highlands and Islands,Region,,1973,48
103,104,1986,46856,1st,M,Duncan McNeil,Q1265439,Inverclyde,Greenock and Inverclyde,West of Scotland,Constituency,,1950,71
104,105,1990,135078,1st,M,Euan Robson,Q1372069,Scottish Borders,Roxburgh and Berwickshire,South of Scotland,Constituency,,1954,67
105,106,1990,135078,1st,M,Euan Robson,Q1372069,Scottish Borders,Roxburgh and Berwickshire,South of Scotland,Constituency,The Deputy Minister for Parliament,1954,67
106,107,1990,135078,1st,M,Euan Robson,Q1372069,Scottish Borders,Roxburgh and Berwickshire,South of Scotland,Constituency,The Deputy Minister for Parliamentary Business,1954,67
107,108,1994,191637,1st,M,Fergus Ewing,Q559022,Highland,"Inverness East, Nairn and Lochaber",Highlands and Islands,Constituency,,1957,64
108,109,1996,108359,1st,M,Frank McAveety,Q1443752,Glasgow City,Glasgow Shettleston,Glasgow,Constituency,The Deputy Minister for Local Government,1962,59
109,110,1996,108359,1st,M,Frank McAveety,Q1443752,Glasgow City,Glasgow Shettleston,Glasgow,Constituency,,1962,59
110,111,1996,108359,1st,M,Frank McAveety,Q1443752,Glasgow City,Glasgow Shettleston,Glasgow,Constituency,The Deputy Minister for Health and Community Care,1962,59
111,112,2003,170643,1st,M,George Lyon,Q956623,Argyll and Bute,Argyll and Bute,Highlands and Islands,Constituency,,1956,65
112,113,2005,126626,1st,M,George Reid,Q334480,,,Mid Scotland and Fife,Region,The Deputy Presiding Officer,1939,82
113,114,2010,49819,1st,M,Gil Paterson,Q200615,,,Central Scotland,Region,,1942,79
114,115,2013,55965,1st,M,Gordon Jackson,Q1439561,Glasgow City,Glasgow Govan,Glasgow,Constituency,,1948,73
115,116,2028,252466,1st,M,Henry McLeish,Q333820,Fife,Central Fife,Mid Scotland and Fife,Constituency,The Minister for Enterprise and Lifelong Learning,1948,73
116,117,2028,252466,1st,M,Henry McLeish,Q333820,Fife,Central Fife,Mid Scotland and Fife,Constituency,The First Minister,1948,73
117,118,2028,252466,1st,M,Henry McLeish,Q333820,Fife,Central Fife,Mid Scotland and Fife,Constituency,,1948,73
118,119,2029,118064,1st,M,Hugh Henry,Q5931093,Renfrewshire,Paisley South,West of Scotland,Constituency,,1952,69
119,120,2029,118064,1st,M,Hugh Henry,Q5931093,Renfrewshire,Paisley South,West of Scotland,Constituency,The Deputy Minister for Health and Community Care,1952,69
120,121,2029,118064,1st,M,Hugh Henry,Q5931093,Renfrewshire,Paisley South,West of Scotland,Constituency,The Deputy Minister for Social Justice,1952,69
121,122,2029,118064,1st,M,Hugh Henry,Q5931093,Renfrewshire,Paisley South,West of Scotland,Constituency,The Deputy Minister for Justice,1952,69
122,123,2033,235825,1st,M,Iain Gray,Q1421398,City of Edinburgh,Edinburgh Pentlands,Lothians,Constituency,The Deputy Minister for Health and Community Care,1957,64
123,124,2033,235825,1st,M,Iain Gray,Q1421398,City of Edinburgh,Edinburgh Pentlands,Lothians,Constituency,The Deputy Minister for Justice,1957,64
124,125,2033,235825,1st,M,Iain Gray,Q1421398,City of Edinburgh,Edinburgh Pentlands,Lothians,Constituency,The Minister for Social Justice,1957,64
125,126,2033,235825,1st,M,Iain Gray,Q1421398,City of Edinburgh,Edinburgh Pentlands,Lothians,Constituency,"The Minister for Enterprise, Transport and Lifelong Learning",1957,64
126,127,2038,128713,1st,M,Iain Smith,Q1655380,Fife,North East Fife,Mid Scotland and Fife,Constituency,The Deputy Minister for Parliament,1960,61
127,128,2038,128713,1st,M,Iain Smith,Q1655380,Fife,North East Fife,Mid Scotland and Fife,Constituency,,1960,61
128,129,2044,141996,1st,M,Ian Jenkins,Q765484,Scottish Borders,"Tweeddale, Ettrick and Lauderdale",South of Scotland,Constituency,,1941,80
129,130,2051,960,1st,M,Ian Welsh,Q1440785,North Ayrshire,Ayr,South of Scotland,Constituency,,1953,68
130,131,2052,411905,1st,M,Jack McConnell,Q132040,North Lanarkshire,Motherwell and Wishaw,Central Scotland,Constituency,The Minister for Finance,1960,61
131,132,2052,411905,1st,M,Jack McConnell,Q132040,North Lanarkshire,Motherwell and Wishaw,Central Scotland,Constituency,"The Minister for Education, Europe and External Affairs",1960,61
132,133,2052,411905,1st,M,Jack McConnell,Q132040,North Lanarkshire,Motherwell and Wishaw,Central Scotland,Constituency,The First Minister,1960,61
133,134,2056,167298,1st,M,James Douglas-Hamilton,Q333795,,,Lothians,Region,,1942,79
134,135,2066,144096,1st,M,Jamie McGrigor,Q1680794,,,Highlands and Islands,Region,,1949,72
135,136,2068,115012,1st,M,Jamie Stone,Q1681420,Highland,"Caithness, Sutherland and Easter Ross",Highlands and Islands,Constituency,,1954,67
136,137,2077,450166,1st,M,Jim Wallace,Q333807,Orkney Islands,Orkney,Highlands and Islands,Constituency,,1954,67
137,138,2077,450166,1st,M,Jim Wallace,Q333807,Orkney Islands,Orkney,Highlands and Islands,Constituency,The Deputy First Minister and Minister for Justice,1954,67
138,139,2080,117056,1st,F,Johann Lamont,Q544698,Glasgow City,Glasgow Pollok,Glasgow,Constituency,,1957,64
139,140,2085,85059,1st,M,John Farquhar Munro,Q1225080,Perth and Kinross,"Ross, Skye and Inverness West",Highlands and Islands,Constituency,,1934,87
140,141,2090,120294,1st,M,John McAllion,Q1379003,Dundee City,Dundee East,North East Scotland,Constituency,,1948,73
141,142,2098,223498,1st,M,John Swinney,Q333811,Angus,North Tayside,Mid Scotland and Fife,Constituency,,1964,57
142,143,2099,61940,1st,M,John Young,Q937340,,,West of Scotland,Region,,1930,91
143,144,2100,96922,1st,M,John Home Robertson,Q1700483,East Lothian,East Lothian,South of Scotland,Constituency,The Deputy Minister for Rural Affairs,1948,73
144,145,2100,96922,1st,M,John Home Robertson,Q1700483,East Lothian,East Lothian,South of Scotland,Constituency,,1948,73
145,146,2105,116565,1st,M,Keith Harding,Q1738052,,,Mid Scotland and Fife,Region,,1938,83
146,147,2106,135933,1st,M,Keith Raffan,Q1738083,,,Mid Scotland and Fife,Region,,1949,72
147,148,2108,72772,1st,M,Ken Macintosh,Q1738887,East Renfrewshire,Eastwood,West of Scotland,Constituency,,1962,59
148,149,2108,72772,1st,M,Ken Macintosh,Q1738887,East Renfrewshire,Eastwood,West of Scotland,Constituency,The Ministerial Parliamentary Aide to the Minister for Education and Young People,1962,59
149,150,2110,188639,1st,M,Kenneth Gibson,Q944741,,,Glasgow,Region,,1961,60
150,151,2112,170812,1st,M,Kenny MacAskill,Q983174,,,Lothians,Region,,1958,63
151,152,2117,183424,1st,M,Lewis Macdonald,Q1822125,Aberdeen City,Aberdeen Central,North East Scotland,Constituency,,1957,64
152,153,2117,183424,1st,M,Lewis Macdonald,Q1822125,Aberdeen City,Aberdeen Central,North East Scotland,Constituency,The Deputy Minister for Transport and Planning,1957,64
153,154,2117,183424,1st,M,Lewis Macdonald,Q1822125,Aberdeen City,Aberdeen Central,North East Scotland,Constituency,"The Deputy Minister for Enterprise, Transport and Lifelong Learning",1957,64
154,155,2118,79644,1st,M,Lloyd Quinan,Q1486950,,,West of Scotland,Region,,1957,64
155,156,2122,112877,1st,F,Lyndsay McIntosh,Q1404958,,,Central Scotland,Region,,1955,66
156,157,2123,284786,1st,M,Malcolm Chisholm,Q1886983,City of Edinburgh,Edinburgh North and Leith,Lothians,Constituency,,1949,72
157,158,2123,284786,1st,M,Malcolm Chisholm,Q1886983,City of Edinburgh,Edinburgh North and Leith,Lothians,Constituency,The Deputy Minister for Health and Community Care,1949,72
158,159,2123,284786,1st,M,Malcolm Chisholm,Q1886983,City of Edinburgh,Edinburgh North and Leith,Lothians,Constituency,The Minister for Health and Community Care,1949,72
159,160,2133,131549,1st,M,Michael Matheson,Q121780,,,Central Scotland,Region,,1970,51
160,161,2134,37479,1st,M,Michael McMahon,Q2439870,North Lanarkshire,Hamilton North and Bellshill,Central Scotland,Constituency,,1961,60
161,162,2134,37479,1st,M,Michael McMahon,Q2439870,North Lanarkshire,Hamilton North and Bellshill,Central Scotland,Constituency,The Ministerial Parliamentary Aide to the First Minister,1961,60
162,163,2135,256694,1st,M,Michael Russell,Q1929110,,,South of Scotland,Region,,1953,68
163,164,2140,194111,1st,M,Mike Rumbles,Q1436381,Aberdeenshire,West Aberdeenshire and Kincardine,North East Scotland,Constituency,,1956,65
164,165,2142,100800,1st,M,Mike Watson,Q1929744,Glasgow City,Glasgow Cathcart,Glasgow,Constituency,,1949,72
165,166,2142,100800,1st,M,Mike Watson,Q1929744,Glasgow City,Glasgow Cathcart,Glasgow,Constituency,"The Minister for Tourism, Culture and Sport",1949,72
166,167,2148,206701,1st,M,Murray Tosh,Q1953855,,,South of Scotland,Region,,1950,71
167,168,2148,206701,1st,M,Murray Tosh,Q1953855,,,South of Scotland,Region,The Deputy Presiding Officer,1950,71
168,169,2152,51579,1st,M,Nick Johnston,Q1985419,,,Mid Scotland and Fife,Region,,1948,73
169,170,2154,151913,1st,M,Nicol Stephen,Q333630,Aberdeen City,Aberdeen South,North East Scotland,Constituency,The Deputy Minister for Enterprise and Lifelong Learning and Gaelic,1960,61
170,171,2154,151913,1st,M,Nicol Stephen,Q333630,Aberdeen City,Aberdeen South,North East Scotland,Constituency,"The Deputy Minister for Education, Europe and External Affairs",1960,61
171,172,2154,151913,1st,M,Nicol Stephen,Q333630,Aberdeen City,Aberdeen South,North East Scotland,Constituency,The Deputy Minister for Education and Young People,1960,61
172,173,2159,40115,1st,M,Paul Martin,Q2061163,Glasgow City,Glasgow Springburn,Glasgow,Constituency,,1967,54
173,174,2159,40115,1st,M,Paul Martin,Q2061163,Glasgow City,Glasgow Springburn,Glasgow,Constituency,The Ministerial Parliamentary Aide to the Minister for Finance and Public Services,1967,54
174,175,2167,231078,1st,M,Peter Peacock,Q2077496,,,Highlands and Islands,Region,The Deputy Minister for Children and Education,1952,69
175,176,2167,231078,1st,M,Peter Peacock,Q2077496,,,Highlands and Islands,Region,The Deputy Minister for Finance and Local Government,1952,69
176,177,2167,231078,1st,M,Peter Peacock,Q2077496,,,Highlands and Islands,Region,The Deputy Minister for Finance and Public Services,1952,69
177,178,2172,196778,1st,M,Phil Gallie,Q333800,,,South of Scotland,Region,,1939,82
178,179,2180,176367,1st,M,Richard Lochhead,Q1490268,,,North East Scotland,Region,,1969,52
179,180,2182,216580,1st,M,Richard Simpson,Q2150619,Clackmannanshire,Ochil,Mid Scotland and Fife,Constituency,,1942,79
180,181,2182,216580,1st,M,Richard Simpson,Q2150619,Clackmannanshire,Ochil,Mid Scotland and Fife,Constituency,The Deputy Minister for Justice,1942,79
181,182,2185,205776,1st,M,Robert Brown,Q2156625,,,Glasgow,Region,,1947,74
182,183,2188,139965,1st,M,Robin Harper,Q202002,,,Lothians,Region,,1940,81
183,184,2202,317362,1st,M,Ross Finnie,Q2167587,,,West of Scotland,Region,The Minister for Rural Affairs,1947,74
184,185,2202,317362,1st,M,Ross Finnie,Q2167587,,,West of Scotland,Region,The Minister for Rural Development,1947,74
185,186,2202,317362,1st,M,Ross Finnie,Q2167587,,,West of Scotland,Region,The Minister for Environment and Rural Development,1947,74
186,187,2205,93338,1st,M,Sam Galbraith,Q2216457,East Dunbartonshire,Strathkelvin and Bearsden,West of Scotland,Constituency,,1945,76
187,188,2205,93338,1st,M,Sam Galbraith,Q2216457,East Dunbartonshire,Strathkelvin and Bearsden,West of Scotland,Constituency,The Minister for Children and Education,1945,76
188,189,2205,93338,1st,M,Sam Galbraith,Q2216457,East Dunbartonshire,Strathkelvin and Bearsden,West of Scotland,Constituency,"The Minister for Environment, Sport and Culture",1945,76
189,190,2207,80764,1st,M,Scott Barrie,Q912525,Fife,Dunfermline West,Mid Scotland and Fife,Constituency,,1962,59
190,191,2207,80764,1st,M,Scott Barrie,Q912525,Fife,Dunfermline West,Mid Scotland and Fife,Constituency,"The Ministerial Parliamentary Aide to the Minister for Enterprise, Transport and Lifelong Learning",1962,59
191,192,2215,86097,1st,M,Stewart Stevenson,Q559613,Aberdeenshire,Banff and Buchan,North East Scotland,Constituency,,1946,75
192,193,2223,157048,1st,M,Tavish Scott,Q1339371,Shetland Islands,Shetland,Highlands and Islands,Constituency,,1966,55
193,194,2223,157048,1st,M,Tavish Scott,Q1339371,Shetland Islands,Shetland,Highlands and Islands,Constituency,The Deputy Minister for Parliament,1966,55
194,195,2225,180176,1st,M,Tommy Sheridan,Q542330,,,Glasgow,Region,,1964,57
195,196,2228,93643,1st,M,Tom McCabe,Q7816757,North Lanarkshire,Hamilton South,Central Scotland,Constituency,,1954,67
196,197,2228,93643,1st,M,Tom McCabe,Q7816757,North Lanarkshire,Hamilton South,Central Scotland,Constituency,The Minister for Parliament,1954,67
197,198,2234,213233,1st,M,Bill Aitken,Q861907,,,Glasgow,Region,,1947,74
198,199,2263,294845,1st,M,David Steel,Q333847,,,Lothians,Region,The Presiding Officer,1938,83
199,200,2345,76278,1st,M,John Scott,Q1701702,North Ayrshire,Ayr,South of Scotland,Constituency,,1951,70
200,201,2364,33339,1st,M,Bill Butler,Q861989,Glasgow City,Glasgow Anniesland,Glasgow,Constituency,,1956,65
201,202,2394,74117,1st,M,Murdo Fraser,Q1953630,,,Mid Scotland and Fife,Region,,1965,56
202,203,1741,174799,2nd,F,Annabel Goldie,Q544742,,,West of Scotland,Region,,1950,71
203,204,1751,61673,2nd,F,Cathie Craigie,Q544715,North Lanarkshire,Cumbernauld and Kilsyth,Central Scotland,Constituency,,1954,67
204,205,1752,282759,2nd,F,Cathy Jamieson,Q727460,East Ayrshire,"Carrick, Cumnock and Doon Valley",South of Scotland,Constituency,The Minister for Justice,1956,65
205,206,1752,282759,2nd,F,Cathy Jamieson,Q727460,East Ayrshire,"Carrick, Cumnock and Doon Valley",South of Scotland,Constituency,,1956,65
206,207,1754,43590,2nd,F,Cathy Peattie,Q1051152,Falkirk,Falkirk East,Central Scotland,Constituency,,1951,70
207,208,1756,243962,2nd,F,Christine Grahame,Q467108,,,South of Scotland,Region,,1944,77
208,209,1768,160857,2nd,F,Elaine Murray,Q1324826,Dumfries and Galloway,Dumfries,South of Scotland,Constituency,,1954,67
209,210,1769,85964,2nd,F,Elaine Smith,Q305347,North Lanarkshire,Coatbridge and Chryston,Central Scotland,Constituency,,1963,58
210,211,1771,166104,2nd,F,Eleanor Scott,Q544686,,,Highlands and Islands,Region,,1951,70
211,212,1771,166104,2nd,F,Eleanor Scott,Q544686,,,Highlands and Islands,Region,The Presiding Officer,1951,70
